168,323
762,223
940,57
329,942
314,34
373,594
821,156
805,444
131,715
914,138
208,290
282,120
953,733
269,687
529,144
188,489
297,668
913,565
930,882
479,869
620,508
418,588
488,226
960,465
193,363
947,762
507,332
320,471
91,805
244,867
1000,693
546,510
508,228
936,391
699,601
603,967
866,844
156,473
205,912
580,40
454,204
793,826
103,96
670,579
558,369
879,812
162,872
678,8
310,104
935,119
956,883
942,929
728,741
272,733
496,194
846,192
667,565
558,132
748,620
324,529
659,881
172,924
103,108
19,28
857,107
150,324
162,717
2,67
567,562
726,218
439,914
225,467
76,785
780,700
816,214
101,976
764,549
726,314
857,407
882,375
705,933
611,422
330,881
740,782
250,77
465,397
522,782
718,966
304,517
200,578
213,43
952,744
257,197
577,181
389,501
827,768
822,579
28,611
56,632
990,278
224,443
390,854
745,647
349,629
479,277
794,910
550,952
512,665
727,373
287,436
820,235
281,251
848,25
955,59
816,672
144,541
834,438
562,44
967,11
914,769
627,236
34,249
551,545
917,679
416,710
283,577
903,211
404,852
601,151
172,346
498,343
88,550
894,950
665,292
517,801
968,852
298,276
429,121
721,518
845,174
920,533
437,817
752,682
208,482
837,912
351,145
202,86
375,753
513,711
721,43
40,378
70,528
458,281
284,835
259,233
833,588
125,728
908,459
821,688
926,99
259,757
944,167
271,144
663,784
160,282
47,365
604,810
283,916
612,686
736,549
227,553
826,241
417,842
227,523
126,450
629,117
777,307
336,347
587,517
386,430
993,291
473,698
48,385
905,132
199,277
20,584
962,915
987,446
113,449
636,620
733,15
95,56
12,278
248,283
108,163
698,859
419,913
798,855
589,379
469,81
218,240
1,987
740,662
751,840
172,763
671,79
473,144
928,454
63,649
380,923
659,456
642,79
929,609
506,275
670,72
992,476
114,456
943,342
696,624
127,985
130,490
3,325
929,453
920,24
509,87
314,505
973,888
585,668
156,113
726,525
68,15
452,127
915,47
533,839
982,945
262,212
303,948
522,501
656,807
680,60
668,623
664,746
978,21
902,734
210,663
444,44
242,548
549,478
610,180
159,581
187,157
239,717
229,416
677,346
668,960
493,94
110,569
473,279
339,699
898,143
234,488
967,153
938,563
687,379
787,110
434,152
3,524
136,902
369,760
57,323
156,448
442,806
412,697
867,342
253,490
999,986
239,546
629,299
38,522
219,125
515,479
969,431
137,602
330,973
48,275
237,991
474,728
778,177
170,657
946,717
478,401
175,293
167,507
762,562
670,729
946,738
481,864
394,649
475,82
55,783
655,811
857,634
356,574
530,901
254,652
942,918
632,828
626,15
214,986
901,398
552,836
848,495
366,575
641,711
499,867
207,930
88,124
961,135
405,714
385,35
320,362
615,627
730,758
706,232
404,33
246,649
599,619
91,714
490,703
460,753
955,392
398,94
452,492
585,104
815,724
798,918
567,115
902,390
974,224
110,627
408,867
381,787
775,991
263,788
685,419
200,959
762,216
263,643
0,568
596,254
344,169
359,313
747,308
817,546
794,14
304,207
614,858
224,418
196,267
868,460
435,518
828,624
182,843
15,467
337,500
774,22
552,996
420,830
422,86
598,423
135,620
201,273
451,767
252,35
482,685
64,363
259,221
204,467
